memid,facid,no_of_slots_booked,starttime
0,1,6,03-08-2012 13:00:00
7,1,3,03-08-2012 16:30:00
8,1,3,03-08-2012 19:00:00
8,2,3,03-08-2012 08:30:00
1,2,3,03-08-2012 11:00:00
6,3,2,03-08-2012 08:00:00
2,3,2,03-08-2012 10:00:00
6,3,2,03-08-2012 12:00:00
6,3,2,03-08-2012 16:30:00
2,3,2,03-08-2012 18:30:00
0,4,2,03-08-2012 09:30:00
7,4,2,03-08-2012 10:30:00
0,4,2,03-08-2012 11:30:00
0,4,2,03-08-2012 13:00:00
1,4,2,03-08-2012 14:30:00
3,4,4,03-08-2012 15:30:00
3,4,2,03-08-2012 18:30:00
0,6,2,03-08-2012 09:00:00
0,6,2,03-08-2012 10:30:00
4,6,2,03-08-2012 12:00:00
0,6,2,03-08-2012 15:30:00
1,6,2,03-08-2012 16:30:00
0,6,2,03-08-2012 19:00:00
6,7,2,03-08-2012 09:00:00
6,7,2,03-08-2012 10:30:00
2,7,2,03-08-2012 13:30:00
5,7,2,03-08-2012 17:30:00
8,8,1,03-08-2012 12:00:00
3,8,1,03-08-2012 12:30:00
6,8,1,03-08-2012 14:00:00
3,8,1,03-08-2012 15:00:00
6,8,1,03-08-2012 15:30:00
8,8,1,03-08-2012 16:00:00
0,8,1,03-08-2012 19:00:00
3,8,1,03-08-2012 19:30:00
6,0,3,04-08-2012 15:00:00
9,1,3,04-08-2012 09:30:00
0,1,3,04-08-2012 11:30:00
8,1,3,04-08-2012 16:00:00
0,1,3,04-08-2012 18:30:00
1,2,3,04-08-2012 08:00:00
2,2,3,04-08-2012 09:30:00
1,2,3,04-08-2012 11:00:00
2,2,3,04-08-2012 16:30:00
9,2,3,04-08-2012 18:30:00
6,3,2,04-08-2012 11:30:00
1,3,2,04-08-2012 15:00:00
3,3,2,04-08-2012 18:00:00
4,3,2,04-08-2012 19:00:00
8,4,2,04-08-2012 08:30:00
7,4,2,04-08-2012 10:00:00
0,4,2,04-08-2012 13:30:00
5,4,2,04-08-2012 14:30:00
0,4,2,04-08-2012 17:00:00
5,4,2,04-08-2012 19:30:00
0,5,2,04-08-2012 12:30:00
6,6,2,04-08-2012 08:30:00
5,6,2,04-08-2012 09:30:00
6,6,2,04-08-2012 12:30:00
0,6,2,04-08-2012 16:00:00
0,6,2,04-08-2012 17:30:00
5,7,2,04-08-2012 08:00:00
9,7,2,04-08-2012 11:00:00
7,7,2,04-08-2012 15:00:00
5,7,2,04-08-2012 18:30:00
3,8,1,04-08-2012 08:00:00
3,8,2,04-08-2012 11:00:00
3,8,1,04-08-2012 13:00:00
3,8,1,04-08-2012 16:30:00
6,8,1,04-08-2012 18:00:00
7,8,1,04-08-2012 18:30:00
3,8,1,04-08-2012 19:00:00
2,0,3,05-08-2012 08:00:00
5,0,3,05-08-2012 09:30:00
7,0,3,05-08-2012 15:00:00
7,0,3,05-08-2012 17:30:00
0,1,3,05-08-2012 08:00:00
7,1,3,05-08-2012 09:30:00
9,1,3,05-08-2012 11:00:00
9,1,3,05-08-2012 15:30:00
1,1,3,05-08-2012 18:00:00
1,2,3,05-08-2012 10:00:00
5,2,3,05-08-2012 11:30:00
2,2,3,05-08-2012 15:00:00
8,2,3,05-08-2012 17:00:00
3,3,2,05-08-2012 09:30:00
4,3,2,05-08-2012 14:30:00
3,3,2,05-08-2012 15:30:00
0,4,2,05-08-2012 08:30:00
0,4,2,05-08-2012 10:00:00
0,4,2,05-08-2012 11:30:00
4,4,2,05-08-2012 16:00:00
8,4,2,05-08-2012 19:00:00
0,6,4,05-08-2012 10:00:00
6,6,2,05-08-2012 13:00:00
0,6,2,05-08-2012 15:30:00
2,7,2,05-08-2012 10:30:00
8,7,2,05-08-2012 15:30:00
2,7,2,05-08-2012 19:30:00
0,8,1,05-08-2012 08:30:00
3,8,1,05-08-2012 13:00:00
0,8,1,05-08-2012 14:00:00
3,8,1,05-08-2012 16:30:00
3,8,1,05-08-2012 17:30:00
3,8,2,05-08-2012 19:30:00
7,0,3,06-08-2012 09:00:00
0,0,3,06-08-2012 10:30:00
2,0,3,06-08-2012 12:00:00
0,0,3,06-08-2012 13:30:00
7,0,3,06-08-2012 15:00:00
5,0,3,06-08-2012 16:30:00
7,0,3,06-08-2012 18:00:00
8,1,3,06-08-2012 08:00:00
3,1,3,06-08-2012 10:00:00
0,1,3,06-08-2012 11:30:00
9,1,3,06-08-2012 14:30:00
9,1,3,06-08-2012 17:30:00
1,2,3,06-08-2012 08:30:00
5,2,3,06-08-2012 10:30:00
8,2,3,06-08-2012 12:00:00
8,2,3,06-08-2012 14:00:00
3,3,2,06-08-2012 08:30:00
6,3,2,06-08-2012 15:00:00
6,3,2,06-08-2012 17:00:00
0,4,4,06-08-2012 08:00:00
0,4,2,06-08-2012 12:00:00
7,4,2,06-08-2012 13:30:00
0,4,2,06-08-2012 16:30:00
6,4,2,06-08-2012 18:30:00
0,5,2,06-08-2012 11:00:00
6,6,2,06-08-2012 09:00:00
0,6,2,06-08-2012 10:00:00
6,6,2,06-08-2012 13:00:00
0,6,2,06-08-2012 14:00:00
5,6,2,06-08-2012 15:00:00
8,7,2,06-08-2012 09:30:00
2,7,2,06-08-2012 11:00:00
5,7,4,06-08-2012 12:00:00
4,7,2,06-08-2012 17:30:00
2,7,2,06-08-2012 19:00:00
3,8,1,06-08-2012 08:00:00
4,8,1,06-08-2012 09:00:00
3,8,1,06-08-2012 09:30:00
6,8,1,06-08-2012 12:00:00
1,8,1,06-08-2012 18:00:00
8,8,1,06-08-2012 18:30:00
3,8,1,06-08-2012 19:00:00
10,0,3,07-08-2012 09:00:00
0,1,3,07-08-2012 08:00:00
8,1,3,07-08-2012 09:30:00
7,1,3,07-08-2012 17:00:00
1,2,6,07-08-2012 09:00:00
1,2,3,07-08-2012 13:00:00
10,2,3,07-08-2012 15:00:00
2,2,3,07-08-2012 18:00:00
6,3,2,07-08-2012 08:30:00
6,3,2,07-08-2012 10:00:00
3,3,2,07-08-2012 11:00:00
3,3,2,07-08-2012 12:30:00
3,3,2,07-08-2012 14:30:00
0,4,2,07-08-2012 08:30:00
8,4,2,07-08-2012 12:00:00
8,4,2,07-08-2012 13:30:00
0,4,2,07-08-2012 15:30:00
6,4,2,07-08-2012 18:30:00
1,6,2,07-08-2012 08:00:00
0,6,2,07-08-2012 14:00:00
0,6,2,07-08-2012 15:30:00
0,6,2,07-08-2012 18:00:00
10,7,2,07-08-2012 12:30:00
4,7,2,07-08-2012 15:00:00
9,7,2,07-08-2012 18:30:00
3,8,2,07-08-2012 08:30:00
2,8,1,07-08-2012 10:00:00
3,8,1,07-08-2012 10:30:00
0,8,1,07-08-2012 11:00:00
3,8,1,07-08-2012 12:00:00
2,8,1,07-08-2012 12:30:00
2,8,1,07-08-2012 14:30:00
0,8,1,07-08-2012 16:30:00
3,8,2,07-08-2012 17:00:00
8,8,1,07-08-2012 19:30:00
10,0,3,08-08-2012 09:00:00
6,0,3,08-08-2012 12:30:00
5,0,3,08-08-2012 14:00:00
6,0,3,08-08-2012 16:30:00
0,1,6,08-08-2012 08:30:00
10,1,3,08-08-2012 11:30:00
10,1,3,08-08-2012 14:00:00
9,1,3,08-08-2012 19:00:00
5,2,3,08-08-2012 08:00:00
9,2,3,08-08-2012 09:30:00
7,2,3,08-08-2012 11:00:00
1,2,3,08-08-2012 14:00:00
5,2,3,08-08-2012 17:30:00
1,2,3,08-08-2012 19:00:00
10,3,2,08-08-2012 08:00:00
6,3,2,08-08-2012 10:00:00
0,3,2,08-08-2012 12:00:00
10,3,2,08-08-2012 15:30:00
2,3,2,08-08-2012 19:00:00
6,4,2,08-08-2012 08:00:00
8,4,2,08-08-2012 11:00:00
9,4,4,08-08-2012 12:30:00
0,4,2,08-08-2012 15:00:00
0,4,2,08-08-2012 16:30:00
3,4,2,08-08-2012 17:30:00
0,5,2,08-08-2012 08:00:00
0,6,2,08-08-2012 09:00:00
0,6,2,08-08-2012 11:00:00
8,6,2,08-08-2012 12:30:00
6,6,2,08-08-2012 15:00:00
10,6,2,08-08-2012 17:30:00
0,6,2,08-08-2012 19:00:00
8,7,2,08-08-2012 08:00:00
9,7,2,08-08-2012 11:00:00
7,7,2,08-08-2012 12:30:00
4,7,2,08-08-2012 14:00:00
9,7,2,08-08-2012 15:30:00
10,7,2,08-08-2012 18:30:00
4,8,1,08-08-2012 08:00:00
2,8,1,08-08-2012 09:00:00
3,8,1,08-08-2012 10:00:00
3,8,1,08-08-2012 11:00:00
3,8,1,08-08-2012 12:00:00
2,8,1,08-08-2012 13:00:00
7,8,1,08-08-2012 16:00:00
1,8,1,08-08-2012 16:30:00
3,8,1,08-08-2012 17:00:00
2,8,1,08-08-2012 17:30:00
1,8,1,08-08-2012 18:30:00
6,0,3,09-08-2012 09:30:00
7,0,3,09-08-2012 16:00:00
10,0,3,09-08-2012 17:30:00
10,1,3,09-08-2012 08:00:00
0,1,3,09-08-2012 10:00:00
8,1,3,09-08-2012 14:00:00
0,1,3,09-08-2012 17:00:00
2,2,3,09-08-2012 09:00:00
1,2,3,09-08-2012 11:00:00
9,2,3,09-08-2012 13:00:00
1,2,3,09-08-2012 14:30:00
1,2,3,09-08-2012 16:30:00
10,3,2,09-08-2012 10:00:00
7,3,2,09-08-2012 13:30:00
6,3,2,09-08-2012 14:30:00
2,3,2,09-08-2012 18:00:00
0,4,4,09-08-2012 09:00:00
0,4,4,09-08-2012 12:00:00
10,4,2,09-08-2012 16:30:00
9,4,2,09-08-2012 17:30:00
8,4,2,09-08-2012 18:30:00
10,4,2,09-08-2012 19:30:00
6,6,2,09-08-2012 11:30:00
6,6,2,09-08-2012 18:30:00
8,7,2,09-08-2012 08:00:00
8,7,2,09-08-2012 10:30:00
0,7,2,09-08-2012 12:30:00
6,7,2,09-08-2012 16:00:00
2,7,2,09-08-2012 17:00:00
4,7,2,09-08-2012 18:30:00
4,8,1,09-08-2012 10:00:00
2,8,1,09-08-2012 11:30:00
6,8,1,09-08-2012 13:00:00
3,8,1,09-08-2012 15:00:00
5,8,1,09-08-2012 15:30:00
3,8,1,09-08-2012 17:30:00
3,0,3,10-08-2012 08:00:00
2,0,3,10-08-2012 09:30:00
5,0,3,10-08-2012 11:30:00
2,0,3,10-08-2012 13:00:00
8,0,3,10-08-2012 16:30:00
10,1,6,10-08-2012 08:30:00
8,1,3,10-08-2012 12:00:00
9,1,3,10-08-2012 14:00:00
0,1,3,10-08-2012 16:00:00
10,1,3,10-08-2012 18:30:00
1,2,3,10-08-2012 08:00:00
8,2,3,10-08-2012 09:30:00
7,2,3,10-08-2012 17:30:00
0,2,3,10-08-2012 19:00:00
2,3,2,10-08-2012 08:00:00
7,3,2,10-08-2012 10:30:00
10,3,2,10-08-2012 11:30:00
4,3,2,10-08-2012 14:30:00
3,3,4,10-08-2012 18:00:00
6,4,2,10-08-2012 08:30:00
5,4,2,10-08-2012 10:00:00
6,4,2,10-08-2012 12:00:00
0,4,2,10-08-2012 13:00:00
8,4,2,10-08-2012 14:00:00
1,4,2,10-08-2012 15:30:00
3,4,2,10-08-2012 16:30:00
9,4,2,10-08-2012 19:00:00
0,5,2,10-08-2012 13:30:00
0,6,2,10-08-2012 09:00:00
0,6,2,10-08-2012 11:00:00
0,6,2,10-08-2012 12:30:00
0,6,2,10-08-2012 15:00:00
10,6,2,10-08-2012 16:30:00
0,6,2,10-08-2012 18:00:00
4,7,2,10-08-2012 09:30:00
4,7,2,10-08-2012 11:00:00
9,7,2,10-08-2012 13:00:00
6,7,2,10-08-2012 15:00:00
5,7,4,10-08-2012 16:30:00
6,7,2,10-08-2012 18:30:00
7,7,2,10-08-2012 19:30:00
8,8,1,10-08-2012 09:00:00
7,8,1,10-08-2012 10:00:00
3,8,1,10-08-2012 11:30:00
3,8,1,10-08-2012 12:30:00
7,8,1,10-08-2012 14:00:00
2,8,1,10-08-2012 14:30:00
2,8,2,10-08-2012 15:30:00
7,8,1,10-08-2012 17:00:00
4,8,1,10-08-2012 17:30:00
3,8,1,10-08-2012 20:00:00
0,0,3,11-08-2012 08:00:00
5,0,3,11-08-2012 10:00:00
0,0,3,11-08-2012 12:00:00
4,0,3,11-08-2012 13:30:00
0,0,3,11-08-2012 15:00:00
12,0,3,11-08-2012 16:30:00
4,0,3,11-08-2012 18:30:00
11,1,3,11-08-2012 08:00:00
0,1,3,11-08-2012 10:00:00
0,1,3,11-08-2012 12:30:00
0,1,3,11-08-2012 14:30:00
8,1,3,11-08-2012 16:00:00
0,1,3,11-08-2012 17:30:00
1,2,3,11-08-2012 09:00:00
7,2,3,11-08-2012 11:00:00
1,2,3,11-08-2012 18:00:00
11,3,2,11-08-2012 12:00:00
6,3,2,11-08-2012 14:00:00
7,3,2,11-08-2012 17:30:00
13,3,2,11-08-2012 19:00:00
0,4,2,11-08-2012 10:00:00
14,4,2,11-08-2012 11:00:00
0,4,2,11-08-2012 12:30:00
8,4,2,11-08-2012 14:00:00
6,4,2,11-08-2012 16:30:00
8,4,2,11-08-2012 18:00:00
9,4,2,11-08-2012 19:00:00
12,5,2,11-08-2012 19:30:00
13,6,2,11-08-2012 08:00:00
0,6,2,11-08-2012 09:00:00
0,6,2,11-08-2012 14:00:00
6,6,2,11-08-2012 15:00:00
6,6,4,11-08-2012 17:30:00
2,7,2,11-08-2012 08:30:00
8,7,2,11-08-2012 11:30:00
4,7,2,11-08-2012 15:00:00
2,7,2,11-08-2012 16:00:00
8,7,2,11-08-2012 19:00:00
3,8,2,11-08-2012 08:00:00
1,8,1,11-08-2012 11:30:00
3,8,1,11-08-2012 12:00:00
3,8,3,11-08-2012 13:30:00
3,8,1,11-08-2012 16:00:00
2,8,1,11-08-2012 17:00:00
3,8,1,11-08-2012 17:30:00
2,8,1,11-08-2012 18:00:00
14,8,1,11-08-2012 19:00:00
0,0,3,12-08-2012 08:00:00
7,0,3,12-08-2012 10:30:00
14,0,3,12-08-2012 13:00:00
0,0,3,12-08-2012 14:30:00
6,0,3,12-08-2012 16:00:00
0,0,6,12-08-2012 17:30:00
0,1,3,12-08-2012 10:30:00
9,1,3,12-08-2012 13:30:00
8,1,3,12-08-2012 19:00:00
1,2,3,12-08-2012 11:30:00
2,2,3,12-08-2012 13:00:00
0,2,3,12-08-2012 14:30:00
6,3,2,12-08-2012 08:00:00
10,3,4,12-08-2012 09:30:00
11,3,2,12-08-2012 14:30:00
3,3,2,12-08-2012 17:00:00
5,3,2,12-08-2012 19:00:00
0,4,2,12-08-2012 09:30:00
0,4,2,12-08-2012 12:00:00
6,4,2,12-08-2012 13:00:00
7,4,2,12-08-2012 16:30:00
6,4,2,12-08-2012 18:00:00
0,5,2,12-08-2012 09:30:00
0,5,2,12-08-2012 12:30:00
0,6,4,12-08-2012 09:00:00
13,6,2,12-08-2012 13:00:00
0,6,2,12-08-2012 14:30:00
10,6,2,12-08-2012 17:00:00
8,7,2,12-08-2012 11:00:00
2,7,2,12-08-2012 12:00:00
13,7,2,12-08-2012 14:00:00
5,7,2,12-08-2012 15:00:00
9,8,1,12-08-2012 08:00:00
11,8,1,12-08-2012 10:30:00
3,8,1,12-08-2012 12:00:00
8,8,1,12-08-2012 12:30:00
0,8,1,12-08-2012 13:30:00
0,8,1,12-08-2012 14:30:00
3,8,1,12-08-2012 19:00:00
4,0,3,13-08-2012 08:30:00
0,0,3,13-08-2012 11:00:00
6,0,3,13-08-2012 15:30:00
0,0,3,13-08-2012 18:00:00
12,1,3,13-08-2012 08:30:00
6,1,3,13-08-2012 11:00:00
10,1,6,13-08-2012 12:30:00
11,1,3,13-08-2012 15:30:00
0,1,3,13-08-2012 17:00:00
11,1,3,13-08-2012 19:00:00
1,2,3,13-08-2012 08:00:00
1,2,3,13-08-2012 11:00:00
11,2,3,13-08-2012 13:00:00
2,2,3,13-08-2012 14:30:00
1,2,3,13-08-2012 17:00:00
5,2,3,13-08-2012 19:00:00
3,3,2,13-08-2012 08:00:00
10,3,2,13-08-2012 11:00:00
9,3,2,13-08-2012 12:00:00
3,3,2,13-08-2012 13:00:00
10,3,2,13-08-2012 15:30:00
6,3,2,13-08-2012 17:30:00
7,4,2,13-08-2012 08:00:00
10,4,2,13-08-2012 09:00:00
0,4,4,13-08-2012 10:30:00
0,4,2,13-08-2012 14:00:00
8,4,2,13-08-2012 15:00:00
3,4,2,13-08-2012 16:00:00
10,4,2,13-08-2012 19:00:00
0,6,2,13-08-2012 08:00:00
5,6,2,13-08-2012 12:00:00
6,6,2,13-08-2012 13:00:00
0,6,6,13-08-2012 17:30:00
6,7,2,13-08-2012 08:00:00
14,7,2,13-08-2012 09:00:00
7,7,2,13-08-2012 10:00:00
13,7,2,13-08-2012 13:00:00
8,7,2,13-08-2012 14:00:00
9,7,2,13-08-2012 17:00:00
11,7,2,13-08-2012 18:00:00
4,7,2,13-08-2012 19:00:00
2,8,1,13-08-2012 08:30:00
1,8,1,13-08-2012 10:00:00
3,8,1,13-08-2012 11:00:00
4,8,1,13-08-2012 12:30:00
7,8,1,13-08-2012 14:00:00
4,8,1,13-08-2012 15:00:00
1,8,1,13-08-2012 16:30:00
6,8,1,13-08-2012 17:00:00
3,8,2,13-08-2012 18:30:00
3,8,1,13-08-2012 20:00:00
7,0,3,14-08-2012 09:00:00
14,0,3,14-08-2012 10:30:00
11,0,3,14-08-2012 13:00:00
0,0,6,14-08-2012 15:00:00
10,0,3,14-08-2012 18:30:00
11,1,3,14-08-2012 10:00:00
8,1,3,14-08-2012 11:30:00
0,1,3,14-08-2012 16:30:00
0,1,3,14-08-2012 18:30:00
13,2,3,14-08-2012 08:00:00
1,2,3,14-08-2012 10:30:00
1,2,3,14-08-2012 13:00:00
10,2,3,14-08-2012 15:30:00
0,2,3,14-08-2012 17:00:00
1,2,3,14-08-2012 19:00:00
10,3,2,14-08-2012 10:00:00
10,3,2,14-08-2012 13:00:00
3,3,4,14-08-2012 18:30:00
11,4,2,14-08-2012 08:30:00
0,4,2,14-08-2012 11:00:00
6,4,2,14-08-2012 12:30:00
0,4,2,14-08-2012 14:30:00
14,4,2,14-08-2012 16:30:00
0,4,2,14-08-2012 18:00:00
6,4,2,14-08-2012 19:30:00
0,5,2,14-08-2012 12:00:00
0,5,2,14-08-2012 13:30:00
12,6,2,14-08-2012 09:00:00
0,6,4,14-08-2012 12:30:00
0,6,4,14-08-2012 16:00:00
8,7,4,14-08-2012 09:30:00
2,7,2,14-08-2012 11:30:00
0,8,1,14-08-2012 08:00:00
2,8,1,14-08-2012 08:30:00
11,8,1,14-08-2012 09:30:00
3,8,1,14-08-2012 11:00:00
12,8,1,14-08-2012 12:30:00
3,8,1,14-08-2012 13:30:00
3,8,2,14-08-2012 16:30:00
9,8,1,14-08-2012 18:30:00
6,8,1,14-08-2012 19:00:00
8,8,1,14-08-2012 19:30:00
0,8,1,14-08-2012 20:00:00
0,0,3,15-08-2012 08:00:00
6,0,3,15-08-2012 11:30:00
5,0,3,15-08-2012 13:00:00
14,0,3,15-08-2012 15:00:00
0,0,3,15-08-2012 16:30:00
7,0,3,15-08-2012 18:00:00
0,1,3,15-08-2012 08:00:00
8,1,3,15-08-2012 09:30:00
12,1,3,15-08-2012 11:30:00
11,1,3,15-08-2012 14:30:00
12,1,3,15-08-2012 16:30:00
8,1,3,15-08-2012 18:30:00
1,2,3,15-08-2012 08:00:00
0,2,3,15-08-2012 10:00:00
10,2,3,15-08-2012 12:00:00
13,2,3,15-08-2012 13:30:00
1,2,3,15-08-2012 15:30:00
9,2,3,15-08-2012 18:00:00
3,3,2,15-08-2012 11:00:00
1,3,2,15-08-2012 13:00:00
3,3,2,15-08-2012 14:00:00
11,3,2,15-08-2012 16:30:00
10,3,2,15-08-2012 18:00:00
3,3,2,15-08-2012 19:30:00
0,4,4,15-08-2012 08:30:00
6,4,2,15-08-2012 10:30:00
0,4,2,15-08-2012 13:00:00
0,4,2,15-08-2012 15:00:00
9,4,2,15-08-2012 16:30:00
11,4,2,15-08-2012 18:00:00
0,5,2,15-08-2012 12:00:00
0,5,2,15-08-2012 16:00:00
11,5,2,15-08-2012 19:00:00
6,6,2,15-08-2012 08:00:00
0,6,2,15-08-2012 10:00:00
13,6,2,15-08-2012 11:30:00
11,6,2,15-08-2012 12:30:00
10,6,2,15-08-2012 13:30:00
8,6,2,15-08-2012 15:30:00
13,6,2,15-08-2012 17:00:00
12,6,2,15-08-2012 18:00:00
6,7,2,15-08-2012 15:00:00
8,7,2,15-08-2012 17:30:00
6,8,1,15-08-2012 09:00:00
3,8,1,15-08-2012 10:30:00
2,8,1,15-08-2012 11:30:00
3,8,1,15-08-2012 13:00:00
2,8,2,15-08-2012 14:00:00
3,8,1,15-08-2012 15:30:00
0,8,1,15-08-2012 16:00:00
8,8,1,15-08-2012 17:00:00
3,8,1,15-08-2012 17:30:00
14,8,1,15-08-2012 19:00:00
1,8,1,15-08-2012 19:30:00
6,8,1,15-08-2012 20:00:00
4,0,3,16-08-2012 08:30:00
0,0,3,16-08-2012 11:00:00
5,0,3,16-08-2012 12:30:00
14,0,3,16-08-2012 14:00:00
0,0,3,16-08-2012 15:30:00
0,0,3,16-08-2012 17:30:00
12,1,3,16-08-2012 08:00:00
0,1,3,16-08-2012 13:00:00
11,1,3,16-08-2012 14:30:00
8,1,3,16-08-2012 16:30:00
12,1,3,16-08-2012 18:00:00
5,2,3,16-08-2012 08:30:00
14,2,3,16-08-2012 10:00:00
1,2,3,16-08-2012 13:00:00
2,2,3,16-08-2012 15:30:00
9,2,3,16-08-2012 17:00:00
15,2,3,16-08-2012 18:30:00
6,3,2,16-08-2012 11:00:00
10,3,2,16-08-2012 16:30:00
3,3,2,16-08-2012 17:30:00
1,4,2,16-08-2012 08:30:00
0,4,2,16-08-2012 11:00:00
1,4,2,16-08-2012 12:00:00
9,4,2,16-08-2012 13:00:00
8,4,2,16-08-2012 14:00:00
14,4,2,16-08-2012 15:30:00
13,4,2,16-08-2012 18:30:00
8,4,2,16-08-2012 19:30:00
0,5,2,16-08-2012 11:00:00
0,6,2,16-08-2012 08:30:00
0,6,6,16-08-2012 11:30:00
12,6,2,16-08-2012 15:30:00
5,6,2,16-08-2012 17:30:00
0,6,2,16-08-2012 18:30:00
7,7,2,16-08-2012 10:30:00
7,7,2,16-08-2012 13:00:00
13,7,4,16-08-2012 14:30:00
4,7,2,16-08-2012 16:30:00
10,7,2,16-08-2012 18:00:00
7,8,1,16-08-2012 08:30:00
3,8,2,16-08-2012 09:00:00
3,8,1,16-08-2012 10:30:00
3,8,1,16-08-2012 12:00:00
12,8,1,16-08-2012 13:30:00
3,8,1,16-08-2012 14:00:00
15,8,1,16-08-2012 14:30:00
3,8,2,16-08-2012 15:00:00
4,8,1,16-08-2012 16:00:00
3,8,1,16-08-2012 19:00:00
12,8,1,16-08-2012 19:30:00
0,0,3,17-08-2012 08:30:00
14,0,3,17-08-2012 12:30:00
6,0,3,17-08-2012 14:00:00
10,0,3,17-08-2012 16:00:00
14,0,3,17-08-2012 17:30:00
10,1,3,17-08-2012 08:30:00
0,1,6,17-08-2012 11:00:00
11,1,3,17-08-2012 15:00:00
0,1,3,17-08-2012 17:00:00
16,1,3,17-08-2012 19:00:00
1,2,3,17-08-2012 09:00:00
1,2,3,17-08-2012 12:00:00
11,2,3,17-08-2012 13:30:00
2,2,3,17-08-2012 16:30:00
1,2,3,17-08-2012 18:30:00
10,3,2,17-08-2012 10:00:00
15,3,2,17-08-2012 11:00:00
13,3,2,17-08-2012 14:00:00
15,3,2,17-08-2012 17:30:00
9,4,2,17-08-2012 08:00:00
6,4,2,17-08-2012 09:30:00
3,4,2,17-08-2012 12:00:00
3,4,2,17-08-2012 13:30:00
0,4,2,17-08-2012 14:30:00
16,4,2,17-08-2012 15:30:00
0,4,4,17-08-2012 16:30:00
9,4,2,17-08-2012 19:00:00
4,5,2,17-08-2012 13:00:00
0,5,2,17-08-2012 15:30:00
0,6,2,17-08-2012 08:00:00
12,6,2,17-08-2012 09:30:00
0,6,2,17-08-2012 11:00:00
6,6,2,17-08-2012 12:00:00
0,6,2,17-08-2012 15:00:00
0,6,2,17-08-2012 17:30:00
12,6,2,17-08-2012 18:30:00
6,6,2,17-08-2012 19:30:00
8,7,2,17-08-2012 08:30:00
13,7,2,17-08-2012 12:30:00
15,7,2,17-08-2012 14:30:00
7,7,2,17-08-2012 16:30:00
16,8,1,17-08-2012 08:30:00
16,8,1,17-08-2012 10:00:00
14,8,1,17-08-2012 11:00:00
0,8,1,17-08-2012 12:00:00
2,8,1,17-08-2012 14:00:00
3,8,1,17-08-2012 14:30:00
3,8,1,17-08-2012 15:30:00
8,8,1,17-08-2012 16:00:00
16,8,1,17-08-2012 16:30:00
4,8,1,17-08-2012 18:00:00
6,8,1,17-08-2012 18:30:00
12,8,1,17-08-2012 19:30:00
5,0,3,18-08-2012 08:00:00
0,0,3,18-08-2012 11:00:00
5,0,3,18-08-2012 12:30:00
0,0,3,18-08-2012 14:00:00
8,1,3,18-08-2012 09:30:00
15,1,3,18-08-2012 12:30:00
0,1,3,18-08-2012 14:30:00
7,1,3,18-08-2012 17:00:00
12,1,3,18-08-2012 18:30:00
1,2,3,18-08-2012 08:30:00
1,2,3,18-08-2012 11:30:00
2,2,3,18-08-2012 16:00:00
14,2,3,18-08-2012 18:00:00
15,3,2,18-08-2012 08:00:00
15,3,2,18-08-2012 11:00:00
12,3,2,18-08-2012 13:30:00
1,3,2,18-08-2012 19:30:00
16,4,2,18-08-2012 08:00:00
3,4,2,18-08-2012 09:00:00
4,4,2,18-08-2012 10:30:00
3,4,2,18-08-2012 11:30:00
11,4,2,18-08-2012 12:30:00
0,4,2,18-08-2012 13:30:00
0,4,4,18-08-2012 15:00:00
5,4,2,18-08-2012 17:30:00
0,4,4,18-08-2012 18:30:00
0,5,4,18-08-2012 11:00:00
12,6,2,18-08-2012 09:00:00
0,6,2,18-08-2012 11:00:00
4,6,2,18-08-2012 12:00:00
0,6,2,18-08-2012 13:00:00
14,6,2,18-08-2012 14:30:00
0,6,4,18-08-2012 16:30:00
8,6,2,18-08-2012 19:30:00
8,7,2,18-08-2012 12:00:00
8,7,2,18-08-2012 13:30:00
15,7,2,18-08-2012 15:00:00
15,7,2,18-08-2012 16:30:00
1,7,2,18-08-2012 18:30:00
3,8,1,18-08-2012 08:00:00
6,8,1,18-08-2012 08:30:00
16,8,1,18-08-2012 09:30:00
16,8,2,18-08-2012 11:30:00
2,8,1,18-08-2012 12:30:00
16,8,1,18-08-2012 13:00:00
11,8,1,18-08-2012 13:30:00
16,8,2,18-08-2012 14:00:00
0,8,1,18-08-2012 16:00:00
3,8,1,18-08-2012 16:30:00
12,0,3,19-08-2012 08:00:00
16,0,3,19-08-2012 10:30:00
6,0,3,19-08-2012 13:30:00
6,0,3,19-08-2012 17:30:00
10,1,3,19-08-2012 08:00:00
7,1,3,19-08-2012 11:00:00
10,1,3,19-08-2012 12:30:00
0,1,3,19-08-2012 15:30:00
1,2,3,19-08-2012 09:00:00
5,2,3,19-08-2012 12:30:00
14,2,3,19-08-2012 16:30:00
2,2,3,19-08-2012 18:00:00
16,3,2,19-08-2012 08:00:00
10,3,2,19-08-2012 09:30:00
15,3,4,19-08-2012 11:00:00
14,3,2,19-08-2012 15:00:00
3,3,2,19-08-2012 18:30:00
0,4,6,19-08-2012 09:30:00
5,4,2,19-08-2012 14:00:00
1,4,2,19-08-2012 15:30:00
5,4,2,19-08-2012 16:30:00
16,4,2,19-08-2012 17:30:00
1,4,2,19-08-2012 19:00:00
0,5,2,19-08-2012 17:30:00
0,5,2,19-08-2012 19:00:00
0,6,2,19-08-2012 09:00:00
12,6,2,19-08-2012 10:00:00
0,6,2,19-08-2012 12:00:00
11,6,2,19-08-2012 13:30:00
16,6,2,19-08-2012 14:30:00
